x,y
626.2697,87.40745
626.7518,87.36053
627.2339,87.3147
627.716,87.27036
628.1981,87.22633
628.6802,87.18233
629.1624,87.13886
629.6445,87.09814
630.1266,87.06237
630.6087,87.03334
631.0908,87.0107
631.5729,86.99306
632.0551,86.97844
632.5372,86.96636
633.0193,86.95824
633.5014,86.95748
633.9835,86.96712
634.4656,86.9886
634.9478,87.01954
635.4299,87.05461
635.912,87.08673
636.3941,87.10973
636.8762,87.12077
637.3583,87.12113
637.8405,87.11503
638.3226,87.10749
638.8047,87.10252
639.2868,87.10145
639.7689,87.10301
640.251,87.10467
640.7332,87.10426
641.2153,87.10094
641.6974,87.09567
642.1795,87.09018
642.6616,87.08628
643.1437,87.08504
643.6259,87.08651
644.108,87.09015
644.5901,87.09544
645.0722,87.10194
645.5543,87.10957
646.0364,87.11817
646.5186,87.12731
647.0007,87.13622
647.4828,87.14431
647.9649,87.15096
648.447,87.15639
648.9291,87.16105
649.4113,87.16547
649.8934,87.16962
650.3755,87.17319
650.8576,87.17516
651.3397,87.17495
651.8218,87.17259
652.304,87.16904
652.7861,87.16573
653.2682,87.16392
653.7503,87.1638
654.2324,87.16464
654.7145,87.1646
655.1967,87.16172
655.6788,87.15481
656.1609,87.14387
656.643,87.12978
657.1251,87.11401
657.6072,87.09772
658.0894,87.08136
658.5715,87.06467
659.0536,87.04726
659.5357,87.02885
660.0178,87.00991
660.4999,86.99135
660.9821,86.97421
661.4642,86.95931
661.9463,86.94714
662.4284,86.93757
662.9105,86.9304
663.3926,86.92535
663.8748,86.92233
664.3569,86.92146
664.839,86.92323
665.3211,86.92841
665.8032,86.93874
666.2853,86.95689
666.7675,86.98661
667.2496,87.03123
667.7317,87.0901
668.2138,87.15595
668.6959,87.21789
669.178,87.2684
669.6602,87.30656
670.1423,87.33585
670.6244,87.36051
671.1065,87.3844
671.5886,87.4101
672.0707,87.43909
672.5529,87.47153
673.035,87.5068
673.5171,87.54348
673.9992,87.58018
674.4813,87.61596
674.9634,87.65047
675.4456,87.68374
675.9277,87.71599
676.4098,87.74725
676.8919,87.7775
677.374,87.80674
677.8561,87.83538
678.3383,87.86432
678.8204,87.8947
679.3025,87.92749
679.7846,87.96304
680.2667,88.00064
680.7488,88.03864
681.231,88.07497
681.7131,88.1077
682.1952,88.13558
682.6773,88.15849
683.1594,88.17709
683.6415,88.19266
684.1237,88.20639
684.6058,88.21939
685.0879,88.23212
685.57,88.24483
686.0521,88.25753
686.5342,88.27023
687.0164,88.28291
687.4985,88.29563
687.9806,88.30821
688.4627,88.32046
688.9448,88.33199
689.4269,88.34261
689.9091,88.35227
690.3912,88.36115
690.8733,88.36945
691.3554,88.37741
691.8375,88.38502
692.3196,88.39225
692.8018,88.39906
693.2839,88.40558
693.766,88.4122
694.2481,88.41949
694.7302,88.42796
695.2123,88.43786
695.6945,88.44917
696.1766,88.46148
696.6587,88.47433
